model_variant,split,threshold_delta,micro_f1,macro_f1,subset_accuracy,hamming_loss
logreg_calibrated,val,-0.1,0.6918899348298334,0.38668021939238767,0.3936842105263158,0.09953216374269006
logreg_calibrated,val,-0.05,0.7050197405527355,0.39102965573350257,0.4131578947368421,0.09175438596491228
logreg_calibrated,val,0.0,0.7850467289719626,0.4234722841070469,0.641578947368421,0.05783625730994152
logreg_calibrated,val,0.05,0.7989031078610603,0.3989122005470382,0.6984210526315789,0.05146198830409357
logreg_calibrated,val,0.1,0.801789077212806,0.3602540887649634,0.7273684210526316,0.04923976608187135
logreg_calibrated,test,-0.1,0.6976744186046512,0.3710498375196557,0.4192105263157895,0.0954093567251462
logreg_calibrated,test,-0.05,0.7109666316091404,0.37639511381728413,0.4318421052631579,0.08839181286549708
logreg_calibrated,test,0.0,0.7826182618261827,0.38877681333801806,0.6352631578947369,0.057777777777777775
logreg_calibrated,test,0.05,0.7957608570441194,0.36770298381127586,0.6944736842105264,0.0518421052631579
logreg_calibrated,test,0.1,0.8013237206004018,0.36030686767825304,0.7215789473684211,0.04915204678362573
logreg_uncalibrated,val,-0.1,0.7316312609627753,0.39227193568966645,0.5257894736842105,0.08052631578947368
logreg_uncalibrated,val,-0.05,0.7506561679790026,0.4136980150860072,0.5652631578947368,0.07222222222222222
logreg_uncalibrated,val,0.0,0.7691663175534144,0.4355222176990782,0.6063157894736843,0.06444444444444444
logreg_uncalibrated,val,0.05,0.7736464448793215,0.40701532558736203,0.6389473684210526,0.06087719298245614
logreg_uncalibrated,val,0.1,0.7842960288808665,0.3886608312785879,0.6752631578947368,0.05590643274853801
logreg_uncalibrated,test,-0.1,0.7398901647528707,0.39557999875966454,0.5484210526315789,0.07616959064327486
logreg_uncalibrated,test,-0.05,0.7588571428571429,0.41156296043519086,0.5842105263157895,0.06786549707602339
logreg_uncalibrated,test,0.0,0.770530367835757,0.40924090518294626,0.616578947368421,0.0627485380116959
logreg_uncalibrated,test,0.05,0.7807415605976757,0.40058055889473576,0.6513157894736842,0.057923976608187135
logreg_uncalibrated,test,0.1,0.7869301953615903,0.3843067670730688,0.6792105263157895,0.05453216374269006
